AtomicNumber,Symbol,Name,AtomicMass,Phase,Type,GroupClassification
1,H,Hydrogen,1.008,Gas,Nonmetal,Nonmetal
2,He,Helium,4.0026,Gas,Nonmetal,Noble Gas
3,Li,Lithium,6.94,Solid,Metal,Alkali Metal
4,Be,Beryllium,9.0122,Solid,Metal,Alkaline Earth Metal
5,B,Boron,10.81,Solid,Metalloid,Metalloid
6,C,Carbon,12.011,Solid,Nonmetal,Nonmetal
7,N,Nitrogen,14.007,Gas,Nonmetal,Nonmetal
8,O,Oxygen,15.999,Gas,Nonmetal,Nonmetal
9,F,Fluorine,18.998,Gas,Nonmetal,Halogen
10,Ne,Neon,20.18,Gas,Nonmetal,Noble Gas
11,Na,Sodium,22.99,Solid,Metal,Alkali Metal
12,Mg,Magnesium,24.305,Solid,Metal,Alkaline Earth Metal
13,Al,Aluminum,26.982,Solid,Metal,Other Metal
14,Si,Silicon,28.085,Solid,Metalloid,Metalloid
15,P,Phosphorus,30.974,Solid,Nonmetal,Nonmetal
16,S,Sulfur,32.06,Solid,Nonmetal,Nonmetal
17,Cl,Chlorine,35.45,Gas,Nonmetal,Halogen
18,Ar,Argon,39.948,Gas,Nonmetal,Noble Gas
19,K,Potassium,39.098,Solid,Metal,Alkali Metal
20,Ca,Calcium,40.078,Solid,Metal,Alkaline Earth Metal
21,Sc,Scandium,44.956,Solid,Metal,Transition Metal
22,Ti,Titanium,47.867,Solid,Metal,Transition Metal
23,V,Vanadium,50.942,Solid,Metal,Transition Metal
24,Cr,Chromium,51.996,Solid,Metal,Transition Metal
25,Mn,Manganese,54.938,Solid,Metal,Transition Metal
26,Fe,Iron,55.845,Solid,Metal,Transition Metal
27,Co,Cobalt,58.933,Solid,Metal,Transition Metal
28,Ni,Nickel,58.693,Solid,Metal,Transition Metal
29,Cu,Copper,63.546,Solid,Metal,Transition Metal
30,Zn,Zinc,65.38,Solid,Metal,Transition Metal
31,Ga,Gallium,69.723,Solid,Metal,Other Metal
32,Ge,Germanium,72.63,Solid,Metalloid,Metalloid
33,As,Arsenic,74.922,Solid,Metalloid,Metalloid
34,Se,Selenium,78.971,Solid,Nonmetal,Nonmetal
35,Br,Bromine,79.904,Liquid,Nonmetal,Halogen
36,Kr,Krypton,83.798,Gas,Nonmetal,Noble Gas
37,Rb,Rubidium,85.468,Solid,Metal,Alkali Metal
38,Sr,Strontium,87.62,Solid,Metal,Alkaline Earth Metal
39,Y,Yttrium,88.906,Solid,Metal,Transition Metal
40,Zr,Zirconium,91.224,Solid,Metal,Transition Metal
41,Nb,Niobium,92.906,Solid,Metal,Transition Metal
42,Mo,Molybdenum,95.96,Solid,Metal,Transition Metal
43,Tc,Technetium,98.0,Solid,Metal,Transition Metal
